period,lau,name,registered_unemployed,registered_unemployed_females,disponible_unemployed,low_educated,long_term,unemployment_inflow,unemployment_outflow,below_25,over_55,vacancies,pop_period,TOTAL,Y15-64,Y15-64-females
2024-10-01,SK0323,Brezno,2068,1139,1602,721,873,158,194,266,400,102,2023,58297,38135,18734
2024-10-01,PL6381,Powiat kwidzyński,2070,1305,,611,856,,,348,282,150,2023,80146,53328,26207
2024-10-01,PL5166,Powiat m.Legnica,2079,1088,,609,699,,,193,377,111,2023,91948,58083,29409
2024-10-01,PL4263,Powiat koszaliński,2094,1172,,772,892,,,224,398,106,2023,64450,43151,21180
2024-10-01,PL22A2,Powiat m.Katowice,2098,1028,,402,366,,,181,359,525,2023,279190,180222,91503
2024-10-01,PL6182,Powiat świecki,2100,1267,,661,802,,,362,343,106,2023,94831,61964,30664
2024-10-01,HU3233,Fehérgyarmati Járás,2105,938,,1106,,,,321,629,,2023,35274,22866,11037
2024-10-01,CZ0205,Kutná Hora,2116,1206,1884,645,576,302,327,359,532,1208,2023,78431,49062,23860
2024-10-01,PL7131,Powiat bełchatowski,2117,1224,,498,847,,,291,261,124,2023,108599,70302,35163
2024-10-01,HU2235,Zalaegerszegi Járás,2121,1033,,696,,,,272,705,,2023,96540,62306,30669
2024-10-01,HU2234,Nagykanizsai Járás,2122,1039,,824,,,,201,846,,2023,70538,44759,22281
2024-10-01,CZ0646,Vyškov,2123,1189,1959,497,618,265,298,343,495,1455,2023,95077,59955,29291
2024-10-01,PL9121,Powiat legionowski,2126,1002,,552,822,,,203,374,75,2023,131847,85289,42944
2024-10-01,PL2181,Powiat gorlicki,2128,1312,,278,784,,,436,306,36,2023,105322,68575,33477
2024-10-01,CZ0531,Chrudim,2130,1213,1971,615,407,393,396,455,476,2192,2023,106616,66641,32451
2024-10-01,SK0412,Humenné,2132,1140,1799,391,990,190,171,278,425,317,2023,58688,39510,19254
2024-10-01,PL21A3,Powiat oświęcimski,2133,1200,,372,603,,,288,324,178,2023,148415,95632,47423
2024-10-01,PL2293,Powiat m.Zabrze,2134,1209,,734,544,,,267,370,206,2023,153838,101118,50763
2024-10-01,PL2242,Powiat kłobucki,2140,1071,,436,840,,,316,337,44,2023,81964,53642,26236
2024-10-01,PL2174,Powiat m.Tarnów,2143,1225,,364,748,,,225,391,341,2023,103129,65453,33091
2024-10-01,HU3239,Nyírbátori Járás,2143,1163,,1418,,,,231,628,,2023,39884,26574,12973
2024-10-01,PL4182,Powiat poznański,2146,1207,,399,471,,,214,353,155,2023,448663,296322,149987
2024-10-01,PL6362,Powiat lęborski,2149,1238,,618,904,,,364,304,44,2023,63677,41181,20477
2024-10-01,PL6213,Powiat elbląski,2154,1186,,808,965,,,300,396,28,2023,54142,36197,17343
2024-10-01,PL4141,Powiat gnieźnieński,2160,1260,,532,640,,,336,363,32,2023,141303,91046,45125
2024-10-01,PL8125,Powiat tomaszowski,2163,1120,,590,942,,,404,306,29,2023,77016,50105,24291
2024-10-01,SK0104,Bratislava IV,2172,1206,2108,148,466,236,217,222,314,8478,2023,105043,68979,34895
2024-10-01,PL5231,Powiat brzeski,2181,1168,,570,793,,,251,389,46,2023,86149,56087,27623
2024-10-01,HU3212,Berettyóújfalui Járás,2184,1094,,1071,,,,261,722,,2023,40755,26111,12584
2024-10-01,PL5247,Powiat m.Opole,2187,1128,,554,819,,,176,391,598,2023,126077,80288,41323
2024-10-01,PL8122,Powiat chełmski,2188,1222,,543,743,,,367,315,12,2023,73705,48665,23388
2024-10-01,PL22B3,Powiat m.Dąbrowa Górnicza,2209,1139,,486,800,,,235,300,296,2023,113460,70899,35717
2024-10-01,PL4265,Powiat m.Koszalin,2210,1064,,702,742,,,161,481,259,2023,105540,65781,33281
2024-10-01,PL8214,Powiat krośnieński,2211,1228,,369,817,,,291,340,88,2023,108659,71361,34914
2024-10-01,PL7144,Powiat sieradzki,2223,1104,,601,787,,,363,360,81,2023,111477,71921,35310
2024-10-01,HU3122,Egri Járás,2233,1142,,726,,,,220,652,,2023,81389,52355,26453
2024-10-01,PL6384,Powiat tczewski,2234,1363,,704,824,,,360,293,176,2023,111237,73084,36096
2024-10-01,PL2282,Powiat tarnogórski,2235,1170,,544,867,,,306,321,201,2023,139160,90026,45055
2024-10-01,PL8412,Powiat sokólski,2239,864,,678,1332,,,309,369,39,2023,61246,39839,19079
2024-10-01,PL2193,Powiat tatrzański,2243,973,,679,1163,,,388,334,38,2023,66478,43440,21843
2024-10-01,HU3321,Békéscsabai Járás,2251,1111,,545,,,,304,643,,2023,74477,46927,23583
2024-10-01,CZ0411,Cheb,2252,1248,2072,1010,664,343,340,420,557,2729,2023,94224,61124,31112
2024-10-01,SK0217,Trnava,2262,1297,2120,278,245,388,447,294,337,5153,2023,132524,86763,42818
2024-10-01,PL5182,Powiat oleśnicki,2265,1153,,590,825,,,301,387,38,2023,106516,69178,34136
2024-10-01,PL7212,Powiat konecki,2275,1254,,372,608,,,327,338,51,2023,73741,46960,22628
2024-10-01,PL8241,Powiat dębicki,2284,1401,,357,758,,,436,333,164,2023,132615,87600,42887
2024-10-01,PL8225,Powiat m.Przemyśl,2287,1074,,531,1203,,,208,402,21,2023,56050,35526,18075
2024-10-01,PL2292,Powiat m.Gliwice,2287,1192,,561,659,,,200,377,345,2023,169915,107691,53920
2024-10-01,PL9243,Powiat ostrowski,2288,1111,,541,1109,,,422,318,45,2023,68412,43994,21367
2024-10-01,SK0321,Banská Bystrica,2289,1193,2127,235,617,278,321,271,420,1194,2023,107199,69097,34934
2024-10-01,PL21A1,Powiat chrzanowski,2290,1211,,616,796,,,288,397,195,2023,118684,76050,37828
2024-10-01,HU323C,Vásárosnaményi Járás,2291,1155,,1252,,,,315,637,,2023,35107,22582,10844
2024-10-01,PL9224,Powiat pułtuski,2304,1115,,644,1160,,,342,299,115,2023,50311,32716,15910
2024-10-01,PL6363,Powiat słupski,2318,1174,,798,804,,,308,382,304,2023,96293,63588,30960
2024-10-01,SK0312,Čadca,2329,1294,1962,229,697,271,305,356,459,1099,2023,87135,60347,29024
2024-10-01,PL4113,Powiat pilski,2331,1269,,634,576,,,368,405,76,2023,130525,85018,42047
2024-10-01,PL6383,Powiat starogardzki,2331,1443,,607,745,,,403,341,75,2023,125125,82358,40470
2024-10-01,HU311D,Szerencsi Járás,2334,1130,,1225,,,,336,659,,2023,36966,23696,11530
2024-10-01,PL4261,Powiat białogardzki,2335,1226,,930,1204,,,255,396,106,2023,44373,29125,14231
2024-10-01,PL8232,Powiat łańcucki,2344,1111,,380,881,,,409,334,17,2023,80844,52599,25788
2024-10-01,PL6332,Powiat m.Gdynia,2354,1300,,428,584,,,162,394,375,2023,241189,152954,78593
2024-10-01,SK0102,Bratislava II,2357,1291,2238,229,415,276,344,213,330,11527,2023,125980,82335,41978
2024-10-01,HU3112,Edelényi Járás,2358,1161,,1469,,,,343,561,,2023,32109,20229,9802
2024-10-01,PL9263,Powiat żyrardowski,2359,1121,,821,1191,,,226,381,110,2023,75153,48013,24102
2024-10-01,PL6217,Powiat m.Elbląg,2385,1278,,633,827,,,229,448,97,2023,112923,72319,36325
2024-10-01,PL7224,Powiat opatowski,2386,1077,,522,1230,,,422,333,21,2023,48394,31147,15131
2024-10-01,HU2315,Pécsi Járás,2401,1289,,546,,,,270,761,,2023,174658,113947,58353
2024-10-01,CZ0713,Prostějov,2402,1345,2247,715,685,319,353,374,559,1054,2023,108930,68472,33598
2024-10-01,PL9214,Powiat przysuski,2421,1048,,490,1360,,,397,366,14,2023,38621,24860,11935
2024-10-01,PL6221,Powiat bartoszycki,2425,1279,,746,1081,,,339,392,6,2023,52674,34480,16874
2024-10-01,PL2241,Powiat częstochowski,2426,1254,,554,706,,,301,441,68,2023,131569,85689,42042
2024-10-01,CZ0317,Tábor,2442,1345,2277,602,622,391,397,413,618,1979,2023,104172,64670,31868
2024-10-01,CZ0202,Beroun,2450,1407,2216,645,820,361,328,371,577,3794,2023,101748,65002,32123
2024-10-01,HU3113,Encsi Járás,2469,1050,,1557,,,,445,488,,2023,21485,13417,6461
2024-10-01,PL9241,Powiat makowski,2472,1140,,599,1367,,,453,301,46,2023,41736,26731,12851
2024-10-01,PL6226,Powiat olsztyński,2476,1220,,816,694,,,333,426,184,2023,129914,87266,43199
2024-10-01,PL8142,Powiat lubelski,2480,1217,,529,867,,,472,284,382,2023,164469,108587,53538
2024-10-01,CZ0533,Svitavy,2483,1321,2325,712,687,337,371,486,652,2470,2023,104669,66090,32200
2024-10-01,PL4286,Powiat stargardzki,2493,1472,,607,1138,,,269,367,171,2023,119090,77129,37885
2024-10-01,PL6192,Powiat lipnowski,2502,1528,,777,944,,,478,274,25,2023,62578,41599,20227
2024-10-01,PL6222,Powiat kętrzyński,2504,1251,,871,1132,,,299,425,70,2023,57045,37087,18071
2024-10-01,SK0211,Dunajská Streda,2510,1552,2259,563,522,363,429,351,418,2225,2023,127025,85394,42765
2024-10-01,SK0232,Levice,2515,1553,2118,571,794,359,346,384,500,1567,2023,108479,71829,35451
2024-10-01,CZ0632,Jihlava,2516,1335,2324,702,607,420,387,450,578,2501,2023,117728,74743,36517
2024-10-01,PL22B1,Powiat będziński,2529,1201,,761,666,,,262,429,246,2023,144685,91632,45791
2024-10-01,PL6173,Powiat nakielski,2541,1537,,725,1042,,,408,356,177,2023,82874,54662,26797
2024-10-01,PL6361,Powiat bytowski,2546,1506,,712,1047,,,457,335,96,2023,76502,49801,24408
2024-10-01,CZ0207,Mladá Boleslav,2550,1521,2401,861,682,346,397,431,709,10468,2023,136480,88672,43333
2024-10-01,PL8124,Powiat krasnostawski,2553,1244,,660,1344,,,442,341,77,2023,59041,37280,17932
2024-10-01,PL6212,Powiat działdowski,2559,1495,,708,1247,,,366,423,52,2023,61416,40421,19896
2024-10-01,HU3115,Kazincbarcikai Járás,2565,1371,,1018,,,,363,814,,2023,58744,38333,18836
2024-10-01,SK0233,Nitra,2567,1524,2333,278,324,433,505,331,421,5327,2023,164820,107903,53491
2024-10-01,PL2253,Powiat żywiecki,2571,1226,,600,670,,,373,500,125,2023,148829,97820,48296
2024-10-01,PL7122,Powiat pabianicki,2590,1202,,881,1015,,,203,541,112,2023,119066,75544,38131
2024-10-01,PL8233,Powiat ropczycko-sędziszowski,2596,1383,,431,1063,,,547,349,41,2023,74027,48826,23951
2024-10-01,HU3237,Mátészalkai Járás,2606,1306,,1655,,,,314,840,,2023,60078,39137,19257
2024-10-01,CZ0534,Ústí nad Orlicí,2633,1456,2462,829,704,373,493,479,650,3297,2023,138387,86989,42360
2024-10-01,PL8123,Powiat hrubieszowski,2641,1287,,672,1314,,,463,350,26,2023,56783,36618,17737
2024-10-01,PL9221,Powiat ciechanowski,2650,1247,,684,1094,,,364,422,74,2023,85167,54682,26677
2024-10-01,PL5234,Powiat nyski,2652,1360,,761,915,,,267,573,104,2023,127992,82998,40956
2024-10-01,CZ0635,Žďár nad Sázavou,2653,1390,2380,471,879,334,329,435,703,1114,2023,119296,75084,36472
2024-10-01,PL9242,Powiat ostrołęcki,2661,1372,,507,1155,,,454,393,16,2023,87494,58812,28002
2024-10-01,SK0231,Komárno,2670,1539,2217,789,851,311,322,340,674,830,2023,99273,66253,32298
2024-10-01,HU2324,Kaposvári Járás,2677,1479,,1139,,,,372,901,,2023,107556,68175,34091
2024-10-01,PL8215,Powiat sanocki,2720,1337,,474,1237,,,383,365,20,2023,89743,58485,28901
2024-10-01,CZ0634,Třebíč,2728,1551,2453,625,976,367,319,469,685,1273,2023,110503,69494,33787
2024-10-01,PL6132,Powiat toruński,2747,1568,,810,973,,,416,309,66,2023,114303,77108,38224
2024-10-01,PL21A2,Powiat olkuski,2755,1341,,549,1175,,,392,402,115,2023,105900,67134,33368
2024-10-01,CZ0512,Jablonec nad Nisou,2759,1514,2504,1213,862,396,383,500,543,673,2023,93312,58217,28920
2024-10-01,PL8223,Powiat przemyski,2775,1381,,659,1373,,,403,422,8,2023,71131,47753,23059
2024-10-01,PL6134,Powiat m.Toruń,2791,1416,,704,783,,,285,420,196,2023,194771,124818,64533
2024-10-01,CZ0641,Blansko,2791,1487,2565,727,946,313,354,488,663,773,2023,111025,69080,33940
2024-10-01,PL6216,Powiat ostródzki,2791,1501,,912,814,,,435,477,255,2023,99069,64919,31754
2024-10-01,PL8244,Powiat niżański,2803,1412,,618,1319,,,428,435,50,2023,63733,43082,21014
2024-10-01,PL9216,Powiat szydłowiecki,2817,1395,,566,1571,,,310,449,46,2023,37500,24577,11801
2024-10-01,PL8242,Powiat leżajski,2826,1453,,419,1351,,,443,392,66,2023,66698,44349,21674
2024-10-01,PL9133,Powiat piaseczyński,2836,1267,,874,1034,,,189,571,1247,2023,215088,141167,71971
2024-10-01,PL7151,Powiat kutnowski,2841,1542,,853,1267,,,377,409,228,2023,90671,57488,28409
2024-10-01,HU3227,Szolnoki Járás,2847,1563,,997,,,,286,853,,2023,109626,70268,34755
2024-10-01,PL9223,Powiat płoński,2875,1558,,858,1399,,,485,400,697,2023,84006,54460,26561
2024-10-01,CZ0644,Břeclav,2879,1575,2725,701,721,401,375,497,706,1261,2023,118828,75616,37542
2024-10-01,CZ0523,Náchod,2909,1601,2725,1056,800,412,485,581,648,1380,2023,110453,68389,33573
2024-10-01,CZ0511,Česká Lípa,2930,1594,2681,1014,735,463,425,611,625,849,2023,103510,66488,32523
2024-10-01,PL6167,Powiat m.Grudziądz,2932,1636,,1133,1138,,,394,412,52,2023,88658,56392,28485
2024-10-01,PL8152,Powiat kraśnicki,2933,1403,,781,1487,,,565,335,78,2023,89215,57117,28097
2024-10-01,PL6231,Powiat ełcki,2936,1497,,954,1141,,,355,446,56,2023,88343,59036,29206
2024-10-01,HU323A,Nyíregyházi Járás,2939,1684,,827,,,,322,1112,,2023,162229,106553,53672
2024-10-01,PL8235,Powiat strzyżowski,2955,1513,,463,1572,,,450,417,26,2023,59201,39526,19225
2024-10-01,PL9234,Powiat m.Płock,2970,1767,,728,1215,,,228,534,193,2023,111190,70257,35744
2024-10-01,CZ0722,Uherské Hradiště,2982,1644,2753,514,787,451,481,497,725,1621,2023,141736,89087,43513
2024-10-01,PL4275,Powiat szczecinecki,2986,1740,,989,1282,,,397,500,32,2023,72717,46731,23073
2024-10-01,HU3315,Kecskeméti Járás,3005,1568,,950,,,,303,986,,2023,156154,102117,50812
2024-10-01,PL8126,Powiat zamojski,3011,1488,,644,1338,,,563,421,21,2023,100753,66028,31934
2024-10-01,PL21A4,Powiat wadowicki,3018,1566,,634,1057,,,486,480,130,2023,157473,103547,51055
2024-10-01,PL2252,Powiat cieszyński,3033,1553,,661,1222,,,461,503,143,2023,174794,111760,55849
2024-10-01,CZ0208,Nymburk,3062,1698,2851,788,884,403,449,552,676,2915,2023,106551,68126,33960
2024-10-01,PL8243,Powiat mielecki,3066,1502,,498,1229,,,503,470,406,2023,132983,86825,42705
2024-10-01,SK0416,Poprad,3080,1597,2567,1117,1178,360,310,526,435,754,2023,102038,66637,33044
2024-10-01,PL7215,Powiat starachowicki,3083,1445,,605,1537,,,306,539,117,2023,83634,52917,25814
2024-10-01,PL7213,Powiat ostrowiecki,3087,1599,,654,1044,,,381,488,130,2023,100058,62743,31261
2024-10-01,PL9232,Powiat płocki,3134,1824,,1003,1340,,,405,551,86,2023,109531,73098,35521
2024-10-01,PL2191,Powiat nowotarski,3140,1599,,788,759,,,633,413,181,2023,190107,126664,63062
2024-10-01,CZ0525,Trutnov,3151,1660,2944,908,881,477,451,552,759,1316,2023,116965,73104,35566
2024-10-01,PL6371,Powiat chojnicki,3153,1964,,574,1406,,,552,426,101,2023,96024,62358,30823
2024-10-01,CZ0423,Litoměřice,3171,1828,2924,941,891,498,539,596,697,1004,2023,119486,75291,36783
2024-10-01,SK0234,Nové Zámky,3177,1897,2879,531,729,436,442,412,628,2174,2023,135003,89095,43761
2024-10-01,PL7135,Powiat tomaszowski,3190,1542,,831,1233,,,383,472,73,2023,110634,69998,34865
2024-10-01,PL7214,Powiat skarżyski,3210,1518,,626,1584,,,293,558,57,2023,68103,42371,20832
2024-10-01,PL9251,Powiat garwoliński,3212,1446,,669,1500,,,502,433,100,2023,105510,67754,32933
2024-10-01,PL8224,Powiat przeworski,3221,1732,,571,1573,,,496,398,132,2023,75739,50128,24598
2024-10-01,CZ0724,Zlín,3226,1689,3015,533,679,503,597,467,851,4070,2023,192297,120895,59045
2024-10-01,PL8141,Powiat lubartowski,3228,1584,,652,1733,,,528,459,62,2023,83975,54809,26665
